absorption_coefficient,amplitude,beam_pos_x,beam_pos_y,beam_pos_z,epsrel,force_type,fx,fy,fz,gaussian_spot,medium_refractive_index,phase,q,radius,rayleigh_range,refractive_index,vacuum_wavelength,vacuum_wavenumber,wavelength,wavenumber
1000.0,1,-1.575e-05,0,6e-06,0.1,total,-8.742513264390257e-30,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
1000.0,1,-1.35e-05,0,6e-06,0.1,total,-1.0322720720371215e-22,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
1000.0,1,-1.1249999999999999e-05,0,6e-06,0.1,total,-7.50281513309856e-18,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
1000.0,1,-9e-06,0,6e-06,0.1,total,-1.8385181664721964e-14,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
1000.0,1,-6.75e-06,0,6e-06,0.1,total,-2.1800952686340157e-12,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
1000.0,1,-4.5e-06,0,6e-06,0.1,total,-8.475977667223641e-12,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
1000.0,1,-2.25e-06,0,6e-06,0.1,total,-3.854981332273533e-12,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
1000.0,1,0.0,0,6e-06,0.1,total,-3.786532345060857e-27,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
1000.0,1,2.25e-06,0,6e-06,0.1,total,3.854981336066633e-12,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
1000.0,1,4.5e-06,0,6e-06,0.1,total,8.475977667223644e-12,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
1000.0,1,1.125e-05,0,6e-06,0.1,total,7.502815133096437e-18,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
1000.0,1,1.8e-05,0,6e-06,0.1,total,1.2653063614725652e-40,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,-1.8e-05,0,6e-06,0.1,total,-1.2158213338915778e-40,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,-9e-06,0,6e-06,0.1,total,-1.3855312208804983e-14,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,0.0,0,6e-06,0.1,total,-6.326664459872515e-27,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,9e-06,0,6e-06,0.1,total,1.3855312208804131e-14,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,1.8e-05,0,6e-06,0.1,total,1.2158213338910595e-40,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,-1.8e-05,0,6e-06,0.1,total,-1.2253615467537574e-40,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,-9e-06,0,6e-06,0.1,total,-1.0147596373221459e-14,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,0.0,0,6e-06,0.1,total,-8.242018737749131e-27,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,9e-06,0,6e-06,0.1,total,1.01475963732211e-14,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,1.8e-05,0,6e-06,0.1,total,1.2253615467532298e-40,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
1000.0,1,7.875e-06,0,6e-06,0.1,total,2.9696283469829363e-13,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
1000.0,1,1.462e-05,0,6e-06,0.1,total,7.045305055352183e-26,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,-1.575e-05,0,6e-06,0.1,total,-8.039354113539553e-30,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,-1.35e-05,0,6e-06,0.1,total,-9.005470570308713e-23,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,-1.125e-05,0,6e-06,0.1,total,-6.2042416138003795e-18,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,-6.75e-06,0,6e-06,0.1,total,-1.355910921562019e-12,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,-4.5e-06,0,6e-06,0.1,total,-3.84003556304455e-12,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,-2.25e-06,0,6e-06,0.1,total,-1.5357497215703747e-12,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,2.25e-06,0,6e-06,0.1,total,1.5357497183200289e-12,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,4.5e-06,0,6e-06,0.1,total,3.83964311364139e-12,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,6.75e-06,0,6e-06,0.1,total,1.3559109215620235e-12,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,1.125e-05,0,6e-06,0.1,total,6.204241613800714e-18,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,1.35e-05,0,6e-06,0.1,total,9.00547057030618e-23,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
80000.0,1,1.575e-05,0,6e-06,0.1,total,8.039354113539041e-30,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,-1.575e-05,0,6e-06,0.1,total,-7.93662698695527e-30,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,-1.35e-05,0,6e-06,0.1,total,-8.5378283227969e-23,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,-1.125e-05,0,6e-06,0.1,total,-5.442356636832164e-18,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,-6.75e-06,0,6e-06,0.1,total,-5.670201510449925e-13,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,-4.5e-06,0,6e-06,0.1,total,4.599528448185008e-13,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,-2.25e-06,0,6e-06,0.1,total,1.9886685111559082e-13,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,2.25e-06,0,6e-06,0.1,total,-1.9886685111558994e-13,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,4.5e-06,0,6e-06,0.1,total,-4.599528448185006e-13,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,6.75e-06,0,6e-06,0.1,total,5.6702015104499e-13,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,1.125e-05,0,6e-06,0.1,total,5.442356636832428e-18,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,1.35e-05,0,6e-06,0.1,total,8.537828322794453e-23,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
500000.0,1,1.575e-05,0,6e-06,0.1,total,7.936626986954766e-30,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
1000.0,1,-1.688e-05,0,2.4e-05,0.1,total,-8.201496543836743e-15,,,4e-07,1.33,0,6250000000000.0,6e-06,1.37e-06,1.6,4.88e-07,12880000.0,3.669e-07,17120000.0
