L,N,Q,absorption_coefficient,amplitude,beam_pos_x,beam_pos_y,beam_pos_z,bessel_order,epsrel,force_type,fx,fy,fz,medium_refractive_index,phase,radius,reference_function,refractive_index,vacuum_wavelength,vacuum_wavenumber,wavelength,wavenumber
0.0005,15,7658000.0,0,1,0,0,-3.34375e-05,0,0.1,reflection,,,-3.822622576793783e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.84375e-05,0,0.1,reflection,,,-3.239204086365782e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.5625e-05,0,0.1,reflection,,,-2.687033953217076e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.28125e-05,0,0.1,reflection,,,-2.0209587940088488e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2e-05,0,0.1,reflection,,,-1.4544605666741708e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-4e-05,0,0.1,transmission,,,-1.3900605271027328e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.7812500000000004e-05,0,0.1,transmission,,,-1.3947589138884507e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.5625e-05,0,0.1,transmission,,,-1.3927346071632048e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-3.34375e-05,0,0.1,transmission,,,-1.38578100755717e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.84375e-05,0,0.1,transmission,,,-1.3559043656204608e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.5625e-05,0,0.1,transmission,,,-1.3388542878400761e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2.28125e-05,0,0.1,transmission,,,-1.320055302938443e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-2e-05,0,0.1,transmission,,,-1.2945148351456477e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-6e-05,0,0.1,total,,,2.2832214287679495e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5.5e-05,0,0.1,total,,,3.049717900507367e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5e-05,0,0.1,total,,,2.524414827093141e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-4.5e-05,0,0.1,total,,,2.1572846215121342e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-1.5000000000000002e-05,0,0.1,total,,,1.2950093537914724e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-1e-05,0,0.1,total,,,1.9072454698964747e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5e-06,0,0.1,total,,,2.3911141441027724e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-6e-05,0,0.1,incident,,,1.1311243900318803e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5.5e-05,0,0.1,incident,,,1.219876632642337e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5e-05,0,0.1,incident,,,1.32843703509133e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-4.5e-05,0,0.1,incident,,,1.411149986349855e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-1.5000000000000002e-05,0,0.1,incident,,,1.2582730871117361e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-1e-05,0,0.1,incident,,,1.1897037342673424e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5e-06,0,0.1,incident,,,1.1195441355601617e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-6e-05,0,0.1,reflection,,,-3.712308521782849e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5.5e-05,0,0.1,reflection,,,-4.799412626896975e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5e-05,0,0.1,reflection,,,-5.589183473109254e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-4.5e-05,0,0.1,reflection,,,-5.514175231822005e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-1.5000000000000002e-05,0,0.1,reflection,,,-9.730842496277176e-13,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-1e-05,0,0.1,reflection,,,-1.4947382550102525e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5e-06,0,0.1,reflection,,,-1.5364655135108495e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-6e-05,0,0.1,transmission,,,-1.091894616565391e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5.5e-05,0,0.1,transmission,,,-1.1675904417682326e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5e-05,0,0.1,transmission,,,-1.2697107007497378e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-4.5e-05,0,0.1,transmission,,,-1.353859896080758e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-1.5000000000000002e-05,0,0.1,transmission,,,-1.2360494682751825e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-1e-05,0,0.1,transmission,,,-1.1547031990049712e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,-5e-06,0,0.1,transmission,,,-1.778167840626673e-10,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,1e-05,0,0.1,total,,,3.4037411453569807e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,2e-05,0,0.1,total,,,4.109737084567724e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,1e-05,0,0.1,incident,,,9.383682954591083e-11,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,2e-05,0,0.1,incident,,,8.305185829125687e-11,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
0.0005,15,7658000.0,0,1,0,0,1e-05,0,0.1,reflection,,,-3.0305512822761692e-12,1.33,0,2e-05,lip_sin_const_func,1.264,1.064e-06,5905000.0,8e-07,7854000.0
