L,N,R,absorption_coefficient,amplitude,axicon_angle,axicon_angle_degree,beam_pos_x,beam_pos_y,beam_pos_z,bessel_order,bessel_spot,epsrel,force_type,fx,fy,fz,gaussian_spot,longitudinal_wavenumber,medium_refractive_index,phase,q,qr,radius,rayleigh_range,refractive_index,transversal_wavenumber,vacuum_wavelength,vacuum_wavenumber,wavelength,wavenumber,zmax
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.0107,0,2.929e-06,0.1,total,,,2.6379360383667405e-13,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01051,0,2.929e-06,0.1,total,,,5.984772004429104e-13,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.007883,0,2.929e-06,0.1,total,,,5.375437566895152e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.005255,0,2.929e-06,0.1,total,,,5.114100333654872e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01268581927229678,0,2.929e-06,0.1,total,,,1.37026434258546e-15,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.009853,0,2.929e-06,0.1,total,,,8.135610939435896e-12,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.009196,0,2.929e-06,0.1,total,,,4.558243689175674e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.008539,0,2.929e-06,0.1,total,,,5.1662477640190465e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.007226,0,2.929e-06,0.1,total,,,5.5473807624176626e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.006569,0,2.929e-06,0.1,total,,,5.305657273993501e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.005912,0,2.929e-06,0.1,total,,,5.5502937289428866e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.004598,0,2.929e-06,0.1,total,,,5.752812212745514e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.003942,0,2.929e-06,0.1,total,,,4.966088886207651e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.003285,0,2.929e-06,0.1,total,,,5.6470136235023474e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.002628,0,2.929e-06,0.1,total,,,5.782328404081166e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.001971,0,2.929e-06,0.1,total,,,4.986936852211509e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.001314,0,2.929e-06,0.1,total,,,4.777694501554339e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.000657,0,2.929e-06,0.1,total,,,4.9583216813698435e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,0.0,0,2.929e-06,0.1,total,,,5.062299434919542e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01268581927229678,0,2.929e-06,0.1,incident,,,1.566814232746101e-14,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01189,0,2.929e-06,0.1,incident,,,7.653779633344169e-14,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.0111,0,2.929e-06,0.1,incident,,,7.554420210578079e-13,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.01031,0,2.929e-06,0.1,incident,,,1.5444592817949288e-11,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.009514,0,2.929e-06,0.1,incident,,,1.9861740038402073e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.008721,0,2.929e-06,0.1,incident,,,6.65344084151059e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
3e-06,21,0.001,0,1,0.1047,6.0,0.0,0,-0.007928,0,2.929e-06,0.1,incident,,,6.146863580158624e-10,inf,7811000.0,1.33,0,0,2000000.0,1.8e-05,inf,1.596,821000.0,1.064e-06,5905000.0,8e-07,7854000.0,0.009514
